response_id,responded_at,email,first_name,last_name,nickname,date_of_birth,university,graduation_class,hometown,majors,scheduling,interests,interest_adventure,interest_arts,interest_business,interest_public,interest_stem,personal_computer,operating_system,operating_system_usage_windows,operating_system_usage_mac,operating_system_usage_ios,operating_system_usage_android,website_experience,meetup_comfort
29,2015-09-07 05:28:39 -0400,o.conner.alfreda@hotmail.com,Alfreda,O'Conner,,1998,South Abbott,Graduate,"Yasmeenborough, Palestinian Territory",Engineering,,Sit quibusdam rerum nostrum consectetur molestiae quia sed. Blanditiis eum non cupiditate accusamus at aut ut. Porro autem quaerat voluptatem recusandae.,1,0,1,0,1,1,Mac OS,0,1,0,1,1,Sounds scary
30,2015-09-01 11:38:23 -0400,elissa_halvorson@hotmail.com,Elissa,Halvorson,,1997,The Runolfsdottir Institute,Alumni,"Jasonfort, Madagascar",Engineering,,Velit veniam modi ad laboriosam. Autem asperiores voluptas ex voluptas sapiente. Repudiandae et deserunt et praesentium. Consequatur qui et.,1,0,0,0,0,1,Mac OS,1,1,1,1,1,Sounds fine
31,2015-09-08 18:18:33 -0400,pouros_helmer@gmail.com,Helmer,Pouros,,2000,East Bogan College,Sophomore,"Torpport, Mongolia",Engineering,,Excepturi sit optio maxime. In odio ea facere. Ad illum eum voluptatem omnis asperiores eos et. Excepturi eius necessitatibus placeat blanditiis maiores numquam.,1,1,0,0,1,1,Windows OS,1,1,1,1,1,Sounds fine
32,2015-09-08 03:46:53 -0400,wisozk.gus@yahoo.com,Gus,Wisozk,,1998,Stamm Academy,Freshman,"Port Karsonview, Sudan",Information Systems,conflict_before,Deserunt beatae atque quae unde aliquam quia. Temporibus culpa recusandae et velit. Similique sequi rerum animi quaerat. Sit reprehenderit et neque quaerat quod minus provident.,1,1,0,0,0,0,Windows OS,1,1,1,1,1,Sounds scary
33,2015-09-05 23:41:57 -0400,rusty_lubowitz@gmail.com,Rusty,Lubowitz,,1997,East Dicki,Alumni,"Lake Jeremy, Tunisia",Marketing,,Aut est quia enim omnis minus qui non. Quaerat natus molestias aliquid aliquam. Et magni consequuntur id a. Adipisci ab earum nihil velit tenetur error. Dolore expedita voluptas nihil fuga.,1,0,0,0,0,1,Mac OS,0,0,0,0,1,Sounds fine
34,2015-09-08 09:20:12 -0400,trace_kling@gmail.com,Trace,Kling,,1999,Eastern Rhode Island Academy,Junior,"Lake Stephania, Christmas Island",Engineering,,Numquam eveniet ut delectus. Quis molestiae illo minus delectus qui. Doloremque aut est voluptatem enim autem.,1,1,1,0,0,1,Mac OS,1,1,1,1,0,Sounds scary
35,2015-09-05 22:43:02 -0400,tess_rau@gmail.com,Tess,Rau,,2000,Bruen University,Freshman,"Port Garfieldfort, Republic of Korea",Information Systems,,Veniam mollitia vel soluta ipsum. Sint nostrum tempora. Similique vero temporibus eius quo autem. Eligendi id fugiat distinctio.,1,0,0,0,0,1,Windows OS,1,1,1,1,0,Sounds scary
36,2015-09-04 11:26:15 -0400,kon_maybelle_o@yahoo.com,Maybelle,O'Kon,,2000,Western Oberbrunner Academy,Freshman,"Cierraside, Cameroon",Information Systems,,Et repellendus atque eos nam aliquid. Similique ad aut nobis voluptatem consequatur in. Aut officiis quia. Quia quod ipsam nisi neque explicabo vitae. Odit exercitationem mollitia.,1,1,0,0,0,1,Other,1,1,1,1,0,Sounds fine
37,2015-09-07 00:21:46 -0400,duane_jast@yahoo.com,Duane,Jast,Duobam,1998,Eastern Maine Academy,Alumni,"North Luciennetown, Kazakhstan",Information Systems,,Voluptatem et ea magni unde voluptatibus. Ad eos corrupti nulla. Voluptatem voluptatem aliquid cupiditate est dolorem ad veniam. Eius harum saepe quia. Ex dolorum maiores ut aut.,1,0,1,1,0,1,Mac OS,1,0,1,0,1,Sounds scary
38,2015-09-04 13:57:47 -0400,cecil_lowe@hotmail.com,Cecil,Lowe,,2000,Western Louisiana Academy,Sophomore,"Gislasonfort, Mozambique",Information Systems,,Magnam unde quisquam enim. Eius velit aliquid sint. Ea quos dolorem. Sint adipisci atque quam.,0,1,0,0,0,1,Windows OS,1,0,1,1,1,Sounds fine
39,2015-09-04 22:18:54 -0400,botsford_alivia@yahoo.com,Alivia,Botsford,,2000,Southern Bernhard,Alumni,"Katherinefurt, Montenegro",Engineering,,Reprehenderit autem qui sit doloremque et. Et nesciunt voluptatum eius. Et sed optio. Consequatur qui libero tenetur voluptatem facere.,0,1,1,0,0,1,Mac OS,1,1,0,1,1,Sounds scary
40,2015-08-31 01:59:30 -0400,tanya.kessler@gmail.com,Tanya,Kessler,,2000,East Thompson,Junior,"Prohaskaside, Seychelles",Information Systems,,In error impedit eius qui accusantium. Ut quo sint earum blanditiis nam pariatur sed. Quia unde architecto non odio tempora ea et. Inventore accusamus accusantium est ipsa harum fugit qui. Qui pariatur facere reiciendis ratione minus qui magni.,0,1,1,0,1,1,Mac OS,1,1,1,0,1,Sounds fine
41,2015-09-02 08:13:57 -0400,christ.lang@hotmail.com,Christ,Lang,Bitchip,1997,North Lang Institute,Junior,"New Karinaville, Macedonia",Engineering,,Quisquam mollitia ut voluptatem aliquid laborum. Deserunt rem voluptatem pariatur tempora voluptatem earum officia. Illo reprehenderit delectus. Porro voluptas ea aut et. Quae ut quis officia odit voluptas.,1,0,0,0,1,1,Windows OS,1,1,1,1,0,Sounds scary
42,2015-09-04 16:57:34 -0400,vonrueden_carson@hotmail.com,Carson,VonRueden,,2000,West Heathcote,Graduate,"Littleborough, Turkmenistan",Engineering,,Ut voluptatem facilis. Sed similique culpa excepturi illum. Nam atque aut eius vel.,1,0,1,1,0,1,Mac OS,1,1,0,0,1,Sounds scary
43,2015-09-05 16:59:06 -0400,marilou_leannon@gmail.com,Marilou,Leannon,,1998,Thompson Academy,Junior,"Port Aliaview, Svalbard & Jan Mayen Islands",Other,,Voluptatem dignissimos enim incidunt iusto. Omnis ullam accusamus qui est illum dolores aut. Eius molestiae dolorem et officia rerum. Qui maiores et non quod dolore. Sint voluptas amet quo aperiam.,1,0,0,1,1,1,Mac OS,0,1,0,1,1,Sounds scary
44,2015-09-03 00:32:56 -0400,treutel.idell@hotmail.com,Idell,Treutel,,1999,Collier Academy,Alumni,"Schummmouth, Belgium",Marketing,,Iste nostrum nihil possimus. Est impedit similique id accusantium. Pariatur aliquam totam fugiat minus quam ducimus magnam. Voluptatem facere ullam officia.,1,0,0,1,0,1,Windows OS,1,1,0,1,1,Sounds scary
45,2015-09-08 17:53:19 -0400,bogan.dana@hotmail.com,Dana,Bogan,,1997,South Pouros Academy,Sophomore,"Lake Melbaview, Luxembourg",Engineering,,Excepturi et odit impedit sapiente. Impedit nisi libero beatae est qui quasi iure. Veniam praesentium placeat nemo eius maxime. Fuga assumenda non impedit doloribus magni perferendis dolore. Ut praesentium qui qui beatae.,0,1,0,0,1,1,Windows OS,1,0,1,0,0,Sounds scary
46,2015-09-04 18:50:59 -0400,marvin.joaquin@yahoo.com,Joaquin,Marvin,,1997,Boyle College,Alumni,"Lake Ashleighshire, Faroe Islands",Engineering,,Enim maiores qui cumque. Ut ab vel rerum accusantium accusamus dicta. Qui omnis cumque et veniam est officia vitae.,1,1,0,0,1,1,Mac OS,1,1,1,0,1,Sounds scary
47,2015-09-03 20:19:55 -0400,fritsch.javon@gmail.com,Javon,Fritsch,,1999,The Nevada Academy,Sophomore,"West Cordie, Macao",Engineering,,Illum reprehenderit eius odit ratione et officia. Quidem non molestiae dolorem omnis nesciunt. Laboriosam optio magni quo omnis repellendus. Quia corrupti sit est quae molestias sit labore. Non eum laboriosam omnis quo et qui.,1,0,0,0,1,1,Windows OS,1,1,0,0,1,Sounds fine
48,2015-09-03 08:02:43 -0400,aufderhar_nigel@yahoo.com,Nigel,Aufderhar,,1999,East Georgia College,Graduate,"Clementinestad, Central African Republic",Engineering,,Nulla nesciunt culpa dolore ipsam eius autem. Et et magnam tempora minima. Et amet natus quo et sit architecto assumenda. Harum nihil minima qui quaerat.,1,1,0,0,0,1,Windows OS,1,0,0,1,1,Sounds scary
49,2015-09-03 21:59:03 -0400,josefina.von@gmail.com,Josefina,Von,Ronstring,1998,Schaefer College,Alumni,"Metzfurt, Israel",Engineering,,Distinctio accusantium velit libero qui. Qui sunt ut architecto illo. Modi sit omnis sequi. Sit quibusdam omnis assumenda.,1,1,1,1,0,1,Mac OS,1,1,1,0,0,Sounds scary
50,2015-09-05 21:54:53 -0400,margaret.weissnat@hotmail.com,Margaret,Weissnat,,2000,The Raynor,Junior,"South Araceli, Japan",Marketing,,Sed quo dolore. Sit fuga soluta laboriosam ullam sapiente enim est. Aspernatur inventore dolores adipisci ipsa.,1,0,0,1,0,1,Mac OS,0,1,0,1,1,Sounds fine
51,2015-09-07 07:56:39 -0400,lawrence.weber@gmail.com,Lawrence,Weber,,1998,Eastern Heidenreich University,Junior,"Lake Kieramouth, Pakistan",Finance,,Et quaerat odit quia iusto et. Amet iste voluptatem laboriosam. Id velit sunt deserunt quidem.,1,1,1,0,1,1,Windows OS,1,1,0,0,0,Sounds fine
52,2015-09-05 13:39:04 -0400,hodkiewicz_marielle@hotmail.com,Marielle,Hodkiewicz,,2000,East Kansas Academy,Graduate,"West Dylanhaven, Pakistan",Information Systems,,Modi quos consectetur sunt in temporibus. Eaque cumque eius sint dolore esse corrupti soluta. Provident est non eos atque id. Est a eius consequuntur eaque qui fugiat quos.,1,1,0,0,0,1,Mac OS,1,1,1,1,1,Sounds scary
53,2015-08-31 07:52:44 -0400,madelynn.wisozk@gmail.com,Madelynn,Wisozk,Span,2000,The Lang,Junior,"North Yvonne, Kyrgyz Republic",Engineering,,Alias laborum voluptas. Quidem eaque corrupti. Ab quisquam ut. Inventore eum velit eos earum corporis soluta quos. Alias optio quis aliquam quis qui iste.,0,0,0,0,0,1,Windows OS,1,1,1,1,1,Sounds scary
54,2015-09-08 17:16:34 -0400,jacobs.gerhard@gmail.com,Gerhard,Jacobs,Solarbreeze,1998,East Virginia College,Senior,"South Stanley, Kuwait",Engineering,,Quo est quaerat totam dolore non est. Aspernatur labore dicta. Sunt quisquam quis enim accusamus doloremque. Et qui autem.,0,1,1,0,0,1,Mac OS,1,1,1,1,0,Sounds scary
55,2015-09-02 15:04:22 -0400,reta_torp@yahoo.com,Reta,Torp,,2000,Northern New Mexico University,Freshman,"Lake Darion, United States of America",Information Systems,,Iusto rerum et enim id tempore dolores aperiam. Esse odit labore exercitationem dolorem quidem. Distinctio repellendus corrupti quia explicabo nobis quo aut.,1,1,0,0,1,0,Windows OS,0,1,0,1,1,Sounds scary
56,2015-09-02 21:15:41 -0400,rogahn.zachary@gmail.com,Zachary,Rogahn,Quo Lux,1999,West Lebsack,Senior,"Lake Pearliefurt, Gabon",Engineering,conflict_before,Accusamus et nihil animi. Laborum reprehenderit sint quos. Et quas qui aut eveniet qui vero et. Neque sunt cumque qui id amet.,0,1,0,0,0,1,Mac OS,1,1,0,1,1,Sounds scary
57,2015-09-03 17:16:57 -0400,otto_sauer@hotmail.com,Otto,Sauer,,1998,Becker Academy,Alumni,"Lake Faebury, Ghana",Engineering,,Nam nemo voluptatem deleniti quod voluptatibus. Vel neque in quisquam sint est accusamus amet. Non enim possimus eum. Quisquam eius sunt accusantium tempore molestias tenetur. Omnis sed eveniet.,1,0,0,0,0,1,Windows OS,1,1,1,1,1,Sounds scary
58,2015-09-03 20:14:02 -0400,jade.o.conner@gmail.com,Jade,O'Conner,Fintone,1998,Northern Alaska Institute,Senior,"East Myles, Samoa",Engineering,,Ut incidunt nesciunt est itaque. Quia modi unde ut. Dignissimos at minus ea ex et nobis corrupti. Ut harum aut quaerat maiores quidem eveniet.,0,0,0,0,1,1,Other,1,1,0,1,1,Sounds fine
59,2015-09-06 14:46:40 -0400,mckenzie.brianne@yahoo.com,Brianne,McKenzie,,2000,East Virginia College,Senior,"East Marco, Uganda",Marketing,,Dolorum omnis aperiam. Vel veniam error id. Provident debitis sed eum velit libero quibusdam.,1,0,1,0,0,1,Mac OS,1,0,0,0,1,Sounds scary
60,2015-09-07 23:45:14 -0400,ronaldo_schaden@hotmail.com,Ronaldo,Schaden,,1998,Southern Corwin,Sophomore,"Dooleyburgh, Ireland",Information Systems,,Et voluptatem quasi eos voluptatem. Ea aut reprehenderit architecto molestiae est. Eos unde sed.,1,1,1,1,0,1,Windows OS,1,0,1,0,0,Sounds scary
61,2015-08-31 04:51:08 -0400,jovanny.walsh@hotmail.com,Jovanny,Walsh,Kanlam,1997,South Stracke,Senior,"Kuhicton, Turkmenistan",Other,,Magni pariatur perferendis expedita dolor ab sequi. Accusamus numquam veniam qui architecto a. Quidem incidunt quia illo amet id esse.,1,1,0,0,0,1,Windows OS,1,1,1,0,1,Sounds fine
62,2015-09-05 18:58:18 -0400,lind_jackie@hotmail.com,Jackie,Lind,,1999,Northern Bechtelar Institute,Junior,"Sadiefurt, Faroe Islands",Engineering,,Ad et optio quisquam tempore dicta mollitia molestias. Vel quasi officiis sunt illum. Dolorum labore ullam vitae voluptas sit quos accusantium. Placeat qui asperiores maxime sint.,1,1,0,1,1,1,Windows OS,1,0,0,1,1,Sounds scary
63,2015-08-31 15:43:00 -0400,corkery_mikel@yahoo.com,Mikel,Corkery,,1998,West Barton,Sophomore,"New Benville, Indonesia",Engineering,,Qui ipsum qui. Reprehenderit labore corporis. Voluptatum laborum facilis sit.,0,1,0,0,0,1,Mac OS,1,1,1,1,1,Sounds scary
64,2015-09-02 19:02:45 -0400,murray.darien@gmail.com,Darien,Murray,Stringtough,1999,Western Virginia Institute,Alumni,"West Kolbybury, Sri Lanka",Other,,Dignissimos temporibus sapiente rerum illum accusamus veniam. Unde laudantium ea sed numquam voluptatum error. Magni eaque dolorem corrupti commodi.,1,1,0,0,0,1,Mac OS,1,1,1,0,1,Sounds scary
65,2015-09-03 09:46:05 -0400,briana_bernier@hotmail.com,Briana,Bernier,Sonair,1997,Southern Michigan College,Alumni,"Port Alessandrofort, Vietnam",Marketing,,Aut minus aut rerum et aut voluptatum. Pariatur excepturi nihil ab rem. Rem beatae explicabo dolorem. Omnis consectetur laudantium sapiente. Quasi quia minima ut quia.,1,1,0,0,0,1,Other,1,1,1,1,1,Sounds scary
66,2015-09-05 07:37:33 -0400,april.bins@yahoo.com,April,Bins,Cookley,1998,Southern Bailey College,Alumni,"Kemmershire, Gibraltar",Engineering,,Vitae eum voluptates aliquam possimus. Et ducimus itaque debitis cupiditate tempora architecto deleniti. Dolores placeat ipsum nihil. Repellendus doloribus est neque totam. Laudantium neque aut voluptas perferendis est ex facilis.,1,1,0,0,0,1,Windows OS,1,1,0,1,1,Sounds fine
67,2015-09-07 06:04:43 -0400,wyman.rahsaan@hotmail.com,Rahsaan,Wyman,,1999,Eastern Kentucky College,Freshman,"Lillianamouth, Vanuatu",Finance,,Minus soluta aliquam alias consequuntur ullam voluptates vel. Quibusdam et distinctio eum voluptatem ex. Vel eligendi quia perferendis ratione fugiat in. Architecto commodi atque eius maxime itaque. Vel alias explicabo consequatur iste voluptas doloremque non.,1,0,0,0,1,1,Windows OS,1,1,0,1,1,Sounds scary
68,2015-09-01 10:40:02 -0400,monserrate.skiles@gmail.com,Monserrate,Skiles,Ventosanzap,1999,Western Berge University,Sophomore,"Kohlerland, Luxembourg",Information Systems,,Quia dolor sunt. Aut enim nesciunt. Pariatur saepe suscipit porro.,1,0,0,0,0,1,Other,1,1,1,1,1,Sounds scary
69,2015-09-05 12:30:48 -0400,sauer.eldridge@gmail.com,Eldridge,Sauer,,1998,Northern Cormier,Senior,"East Aracelyberg, Guinea-Bissau",Information Systems,,Qui voluptate quasi. Sint temporibus vel. Sint maxime esse corrupti veniam. Expedita cumque voluptatum et quod.,1,1,1,0,0,1,Windows OS,1,1,0,1,1,Sounds scary
70,2015-08-31 04:59:54 -0400,margaret.kunde@yahoo.com,Margaret,Kunde,Andalax,1999,Ratke Academy,Freshman,"West Regan, Kiribati",Information Systems,,Dolores neque non itaque. Necessitatibus ipsum inventore et. Dicta natus et est ratione repellendus. Ut soluta neque exercitationem iure.,1,1,0,0,1,1,Mac OS,1,1,1,1,1,Sounds fine
